businessentityid,persontype,namestyle,title,firstname,middlename,lastname,suffix,emailpromotion,additionalcontactinfo,demographics,rowguid,modifieddate
1,EM,False,,Ken,J,Sánchez,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",92c4279f-1207-48a3-8448-4636514eb7e2,2009-01-07 00:00:00.000
2,EM,False,,Terri,Lee,Duffy,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",d8763459-8aa8-47cc-aff7-c9079af79033,2008-01-24 00:00:00.000
3,EM,False,,Roberto,,Tamburello,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",e1a2555e-0828-434b-a33b-6f38136a37de,2007-11-04 00:00:00.000
4,EM,False,,Rob,,Walters,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",f2d7ce06-38b3-4357-805b-f4b6b71c01ff,2007-11-28 00:00:00.000
5,EM,False,Ms.,Gail,A,Erickson,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",f3a3f6b4-ae3b-430c-a754-9f2231ba6fef,2007-12-30 00:00:00.000
6,EM,False,Mr.,Jossef,H,Goldberg,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0dea28fd-effe-482a-afd3-b7e8f199d56f,2013-12-16 00:00:00.000
7,EM,False,,Dylan,A,Miller,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",c45e8ab8-01be-4b76-b215-820c8368181a,2009-02-01 00:00:00.000
8,EM,False,,Diane,L,Margheim,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",a948e590-4a56-45a9-bc9a-160a1cc9d990,2008-12-22 00:00:00.000
9,EM,False,,Gigi,N,Matthew,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5fc28c0e-6d36-4252-9846-05caa0b1f6c5,2009-01-09 00:00:00.000
10,EM,False,,Michael,,Raheem,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",ca2c740e-75b2-420c-9d4b-e3cbc6609604,2009-04-26 00:00:00.000
11,EM,False,,Ovidiu,V,Cracium,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",d2cc2577-ef6b-4408-bd8c-747337fe5645,2010-11-28 00:00:00.000
12,EM,False,,Thierry,B,D'Hers,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",fa263c7f-600d-4e89-8dcd-0978f3530f5f,2007-12-04 00:00:00.000
13,EM,False,Ms.,Janice,M,Galvin,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",34eb99e0-7042-4dc1-a2fd-bda290ff0e07,2010-12-16 00:00:00.000
14,EM,False,,Michael,I,Sullivan,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9a7501de-5caf-4700-ab07-cc81102bb696,2010-12-23 00:00:00.000
15,EM,False,,Sharon,B,Salavaria,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",beba63cb-13f1-4b76-a3de-fe9ac283a94c,2011-01-11 00:00:00.000
16,EM,False,,David,M,Bradley,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",2cc8ba72-5dbb-497f-b941-775517993638,2007-12-13 00:00:00.000
17,EM,False,,Kevin,F,Brown,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9ee4713e-b3d8-4409-bc5e-dec62497f43a,2007-01-19 00:00:00.000
18,EM,False,,John,L,Wood,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",fe21bda7-9327-4d13-89cc-8ca5cee8f21e,2011-01-31 00:00:00.000
19,EM,False,,Mary,A,Dempsey,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",36f04305-6769-4e61-9143-048b2b7afa20,2011-02-07 00:00:00.000
