salesorderid,revisionnumber,orderdate,duedate,shipdate,status,onlineorderflag,purchaseordernumber,accountnumber,customerid,salespersonid,territoryid,billtoaddressid,shiptoaddressid,shipmethodid,creditcardid,creditcardapprovalcode,currencyrateid,subtotal,taxamt,freight,totaldue,comment,rowguid,modifieddate
43659,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO522145787,10-4020-000676,29825,279.0,5,985,985,5,16281.0,105041Vi84182,,20565.6206,1971.5149,616.0984,23153.2339,,79b65321-39ca-4115-9cba-8fe0903e12e6,2011-06-07
43660,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18850127500,10-4020-000117,29672,279.0,5,921,921,5,5618.0,115213Vi29411,,1294.2529,124.2483,38.8276,1457.3288,,738dc42d-d03b-48a1-9822-f95a67ea7389,2011-06-07
43661,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18473189620,10-4020-000442,29734,282.0,6,517,517,5,1346.0,85274Vi6854,4.0,32726.4786,3153.7696,985.553,36865.8012,,d91b9131-18a4-4a11-bc3a-90b6f53e9d74,2011-06-07
43662,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18444174044,10-4020-000227,29994,282.0,6,482,482,5,10456.0,125295Vi53935,4.0,28832.5289,2775.1646,867.2389,32474.9324,,4a1ecfc0-cc3a-4740-b028-1c50bb48711c,2011-06-07
43663,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO18009186470,10-4020-000510,29565,276.0,4,1073,1073,5,4322.0,45303Vi22691,,419.4589,40.2681,12.5838,472.3108,,9b1e7a40-6ae0-4ad3-811c-a64951857c4b,2011-06-07
43664,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO16617121983,10-4020-000397,29898,280.0,1,876,876,5,806.0,95555Vi4081,,24432.6088,2344.9921,732.81,27510.4109,,22a8a5da-8c22-42ad-9241-839489b6ef0d,2011-06-07
43665,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO16588191572,10-4020-000146,29580,283.0,1,849,849,5,15232.0,35568Vi78804,,14352.7713,1375.9427,429.9821,16158.6961,,5602c304-853c-43d7-9e79-76e320d476cf,2011-06-07
43666,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO16008173883,10-4020-000511,30052,276.0,4,1074,1074,5,13349.0,105623Vi69217,,5056.4896,486.3747,151.9921,5694.8564,,e2a90057-1366-4487-8a7e-8085845ff770,2011-06-07
43667,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO15428132599,10-4020-000646,29974,277.0,3,629,629,5,10370.0,55680Vi53503,,6107.082,586.1203,183.1626,6876.3649,,86d5237d-432d-4b21-8abc-671942f5789d,2011-06-07
43668,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO14732180295,10-4020-000514,29614,282.0,6,529,529,5,1566.0,85817Vi8045,4.0,35944.1562,3461.7654,1081.8017,40487.7233,,281cc355-d538-494e-9b44-461b36a826c6,2011-06-07
43669,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO14123169936,10-4020-000578,29747,283.0,1,895,895,5,15538.0,25877Vi80261,,714.7043,70.5175,22.0367,807.2585,,fabfc5c2-e034-4e0e-a573-6f39e9fa0484,2011-06-07
43670,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO14384116310,10-4020-000504,29566,275.0,3,810,810,5,18017.0,105888Vi93490,,6122.082,587.5603,183.6126,6893.2549,,573e52a7-573f-40b6-b695-6f3d242e0c6d,2011-06-07
43671,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO13978119376,10-4020-000200,29890,283.0,1,855,855,5,13693.0,25904Vi70960,,8128.7876,780.8136,244.0042,9153.6054,,005fda9d-62e1-4001-a4ac-a976a7905f94,2011-06-07
43672,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO13862153537,10-4020-000119,30067,282.0,6,464,464,5,3980.0,95915Vi20982,4.0,6124.182,587.6023,183.6257,6895.41,,194202aa-8e15-4932-a2c4-7a7ac0713639,2011-06-07
43673,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO13775141242,10-4020-000618,29844,275.0,2,821,821,5,1417.0,35931Vi7271,,3746.2015,357.9614,111.8629,4216.0258,,c5cd3ae9-41f5-4b71-a3f1-d550b928572b,2011-06-07
43674,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO12760141756,10-4020-000083,29596,282.0,6,458,458,5,19204.0,26081Vi99806,4.0,2624.382,251.9407,78.7315,2955.0542,,ce8bca02-f705-4aae-a446-5d8b660c3a1b,2011-06-07
43675,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO12412186464,10-4020-000670,29827,277.0,3,631,631,5,11886.0,126121Vi61402,,5716.3102,546.8759,170.8987,6434.0848,,9f2cf0ee-f2b8-44d4-897d-7641f4fbd649,2011-06-07
43676,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO11861165059,10-4020-000017,29811,275.0,5,755,755,5,18153.0,36168Vi94127,,14203.458,1363.266,426.0206,15992.7446,,28c73732-d2fd-4f0d-a9a8-0e53595235f6,2011-06-07
43677,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO11049174786,10-4020-000679,29824,278.0,6,556,556,5,14030.0,16302Vi72763,4.0,7793.1108,747.1011,233.4691,8773.681,,95faaf28-6495-40b0-9789-466b195f2f96,2011-06-07
43678,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10817150168,10-4020-000203,29889,281.0,4,1021,1021,5,5093.0,66363Vi26658,,9799.9243,942.074,294.3981,11036.3964,,7f4b7542-638e-41ca-98d0-93018fe4df77,2011-06-07
43679,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10527142759,10-4020-000480,29761,278.0,6,525,525,5,5439.0,126365Vi28482,4.0,1316.0575,125.8032,39.3135,1481.1742,,17d42d83-177d-4c7e-9c86-d2db69326e04,2011-06-07
43680,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10730130087,10-4020-000491,29489,281.0,4,1069,1069,5,6653.0,126370Vi34642,,11397.4992,1093.6394,341.7623,12832.9009,,9cbe5e7a-12d2-4dd4-b50c-1ffb4021c6e1,2011-06-07
43681,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO1189177803,10-4020-000423,29661,279.0,5,955,955,5,5301.0,16608Vi27707,,13787.5434,1323.0668,413.4584,15524.0686,,c82fc32f-7e10-40d2-8a9f-3d932db42cd4,2011-06-07
43682,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO1566124200,10-4020-000486,29759,275.0,2,808,808,5,76.0,96712Vi373,,3875.7229,371.8002,116.1876,4363.7107,,cdc225d3-b639-4217-a7a4-3ded506fcebe,2011-06-07
43683,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO2552113807,10-4020-000506,29497,283.0,1,889,889,5,13045.0,76866Vi67506,,42813.4333,4107.1489,1283.484,48204.0662,,f6e2abb3-6ff8-49a6-9506-0b051a4618a0,2011-06-07
43684,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO3393188842,10-4020-000549,29912,279.0,5,971,971,5,267.0,37982Vi1394,,5596.4705,537.2612,167.8941,6301.6258,,3a2efba3-34e6-4cb5-b983-cb755aea05da,2011-06-07
43685,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO4176124783,10-4020-000458,30084,279.0,5,958,958,5,2519.0,108058Vi13146,,2736.5678,263.201,82.2503,3082.0191,,c8098fe4-2910-4bd3-9251-e9aea7c7d118,2011-06-07
43686,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO5075125561,10-4020-000344,29606,283.0,1,871,871,5,14612.0,48152Vi75759,,3463.2998,332.4768,103.899,3899.6756,,65ef22d9-1ad7-40f4-a984-b7f074b7a6cf,2011-06-07
